title,cluster
Toy Story,20
Jumanji,16
Grumpier Old Men,13
Waiting to Exhale,15
Father of the Bride Part II,1
Heat,23
Sabrina,13
Tom and Huck,9
Sudden Death,0
GoldenEye,0
The American President,15
Dracula: Dead and Loving It,21
Balto,20
Nixon,7
Cutthroat Island,0
Casino,3
Sense and Sensibility,19
Four Rooms,1
Ace Ventura: When Nature Calls,1
Money Train,10
Get Shorty,10
Copycat,18
Assassins,0
Powder,18
Leaving Las Vegas,19
Othello,7
Now and Then,8
Persuasion,19
La Cité des Enfants Perdus,16
摇啊摇，摇到外婆桥,3
Dangerous Minds,3
Twelve Monkeys,5
Babe,22
Carrington,19
Dead Man Walking,7
Across the Sea of Time,16
It Takes Two,13
Clueless,15
"Cry, the Beloved Country",7
Richard III,29
Dead Presidents,3
Restoration,19
Mortal Kombat,9
To Die For,8
How To Make An American Quilt,19
Se7en,10
Pocahontas,20
When Night Is Falling,19
The Usual Suspects,23
Guardian Angel,28
Mighty Aphrodite,13
Lamerica,7
The Big Green,0
Georgia,7
Home for the Holidays,15
Il postino,15
Le confessionnal,18
The Indian in the Cupboard,16
Eye for an Eye,18
Mr. Holland's Opus,7
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1
Two If by Sea,13
Bio-Dome,1
Lawnmower Man 2: Beyond Cyberspace,24
Two Bits,7
Gazon maudit,13
Friday,1
From Dusk Till Dawn,10
Fair Game,2
Kicking and Screaming,15
Les misérables,7
Bed of Roses,19
Big Bully,1
Screamers,26
Nico Icon,11
The Crossing Guard,18
The Juror,18
بادکنک سفید,7
Things to Do in Denver When You're Dead,3
Antonia,8
Once Upon a Time... When We Were Colored,19
Angels and Insects,19
White Squall,9
Dunston Checks In,22
Black Sheep,1
Nick of Time,23
The Journey of August King,7
Mary Reilly,4
Vampire in Brooklyn,21
Beautiful Girls,15
Broken Arrow,28
A Midwinter's Tale,1
La Haine,7
Shopping,28
Heidi Fleiss: Hollywood Madam,11
City Hall,18
Bottle Rocket,3
Mr. Wrong,13
Unforgettable,18
Happy Gilmore,1
The Bridges of Madison County,19
Muppet Treasure Island,0
Catwalk,11
Headless Body in Topless Bar,10
Braveheart,29
Taxi Driver,3
紅番區,10
Before and After,18
Margaret's Museum,7
Le Bonheur est dans le pré,1
Anne Frank Remembered,11
The Young Poisoner's Handbook,3
If Lucy Fell,13
Steal Big Steal Little,8
Race the Sun,0
The Boys of St. Vincent,7
Boomerang,13
重慶森林,15
L'uomo delle stelle,19
Flirting with Disaster,13
The NeverEnding Story III,16
صمت القصور,7
Pie in the Sky,13
Angela,8
Frankie Starlight,19
Jade,2
Nueba Yol,15
Sonic Outlaws,25
Down Periscope,1
From the Journals of Jean Seberg,11
Man of the Year,1
The Neon Bible,7
Up Close & Personal,19
The Birdcage,1
Gospa,7
The Brothers McMullen,15
Bad Boys,10
The Amazing Panda Adventure,9
The Basketball Diaries,3
An Awfully Big Adventure,15
Amateur,23
Apollo 13,7
Rob Roy,16
The Addiction,17
Batman Forever,10
Belle de jour,19
Beyond Rangoon,18
Blue in the Face,1
Canadian Bacon,1
Casper,22
Clockers,3
Congo,28
Crimson Tide,28
Crumb,11
Desperado,10
Devil in a Blue Dress,18
Die Hard: With a Vengeance,2
The Doom Generation,3
Feast of July,3
First Knight,9
Free Willy 2 - The Adventure Home,16
Hackers,23
Jeffrey,15
Johnny Mnemonic,28
Judge Dredd,24
Jury Duty,8
Kids,3
Living in Oblivion,8
Lord of Illusions,5
Love & Human Remains,8
Mad Love,19
Mallrats,13
Mighty Morphin Power Rangers: The Movie,16
Moonlight and Valentino,15
Mute Witness,18
Nadja,27
The Net,23
Nine Months,1
Party Girl,1
The Prophecy,27
Reckless,8
Safe,7
The Scarlet Letter,19
Showgirls,7
Smoke,8
Something to Talk About,1
Species,26
The Stars Fell on Henrietta,7
Strange Days,23
Les parapluies de Cherbourg,19
The Tie That Binds,18
